station_id,sensor_name,lat,lon,codseqst,point,quota,gestore,provincia,TARIA2M_value,TARIA2M_dt,PRESS_value,PRESS_dt,VV_value,VV_dt,PREC_value,PREC_dt
MH_dpcn-marche_Campodiegoli,Campodiegoli,43.3103,12.8242,Campodiegoli,"{""type"": ""Point"", ""coordinates"": [12.8242, 43.3103]}",483.0,MeteoHub_dpcn-marche,,28.5,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Camponocecchio,Camponocecchio,43.40635,12.98029,Camponocecchio,"{""type"": ""Point"", ""coordinates"": [12.98029, 43.40635]}",184.0,MeteoHub_dpcn-marche,,30.5,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Potenza_1,Potenza 1,43.22954,13.18845,Potenza 1,"{""type"": ""Point"", ""coordinates"": [13.18845, 43.22954]}",231.0,MeteoHub_dpcn-marche,,33.4,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Metauro,Metauro,43.76256,12.96747,Metauro,"{""type"": ""Point"", ""coordinates"": [12.96747, 43.76256]}",47.0,MeteoHub_dpcn-marche,,30.0,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Cesano,Cesano,43.6649,13.01444,Cesano,"{""type"": ""Point"", ""coordinates"": [13.01444, 43.6649]}",89.0,MeteoHub_dpcn-marche,,32.5,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Misa,Misa,43.66254,13.16497,Misa,"{""type"": ""Point"", ""coordinates"": [13.16497, 43.66254]}",38.0,MeteoHub_dpcn-marche,,30.8,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Sant_Angelo_in_Vado,Sant Angelo in Vado,43.66678,12.4102,Sant Angelo in Vado,"{""type"": ""Point"", ""coordinates"": [12.4102, 43.66678]}",357.0,MeteoHub_dpcn-marche,,32.1,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Bronzo,Bronzo,43.80855,12.51255,Bronzo,"{""type"": ""Point"", ""coordinates"": [12.51255, 43.80855]}",189.0,MeteoHub_dpcn-marche,,32.2,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Gallo,Gallo,43.78148,12.70724,Gallo,"{""type"": ""Point"", ""coordinates"": [12.70724, 43.78148]}",132.0,MeteoHub_dpcn-marche,,32.8,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Acqualagna,Acqualagna,43.62819,12.68448,Acqualagna,"{""type"": ""Point"", ""coordinates"": [12.68448, 43.62819]}",196.0,MeteoHub_dpcn-marche,,30.8,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Fonte_Avellana,Fonte Avellana,43.4711,12.7264,Fonte Avellana,"{""type"": ""Point"", ""coordinates"": [12.7264, 43.4711]}",703.0,MeteoHub_dpcn-marche,,25.7,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Jesi,Jesi,43.5319,13.23,Jesi,"{""type"": ""Point"", ""coordinates"": [13.23, 43.5319]}",126.0,MeteoHub_dpcn-marche,,31.7,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Passatempo,Passatempo,43.44728,13.4492,Passatempo,"{""type"": ""Point"", ""coordinates"": [13.4492, 43.44728]}",62.0,MeteoHub_dpcn-marche,,31.9,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Arcevia,Arcevia,43.4975,12.9367,Arcevia,"{""type"": ""Point"", ""coordinates"": [12.9367, 43.4975]}",565.0,MeteoHub_dpcn-marche,,28.7,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Force,Force,42.9628,13.4897,Force,"{""type"": ""Point"", ""coordinates"": [13.4897, 42.9628]}",617.0,MeteoHub_dpcn-marche,,29.2,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Fermo,Fermo,43.1575,13.7144,Fermo,"{""type"": ""Point"", ""coordinates"": [13.7144, 43.1575]}",140.0,MeteoHub_dpcn-marche,,29.7,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Foce_Chienti,Foce Chienti,43.2972,13.72883,Foce Chienti,"{""type"": ""Point"", ""coordinates"": [13.72883, 43.2972]}",4.0,MeteoHub_dpcn-marche,,28.4,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Osimo_Monteragolo,Osimo Monteragolo,43.49232,13.50175,Osimo Monteragolo,"{""type"": ""Point"", ""coordinates"": [13.50175, 43.49232]}",-1.0,MeteoHub_dpcn-marche,,34.7,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Rostighello,Rostighello,43.43805,13.53805,Rostighello,"{""type"": ""Point"", ""coordinates"": [13.53805, 43.43805]}",-1.0,MeteoHub_dpcn-marche,,30.2,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Svarchi,Svarchi,43.47547,13.59435,Svarchi,"{""type"": ""Point"", ""coordinates"": [13.59435, 43.47547]}",-1.0,MeteoHub_dpcn-marche,,29.8,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Monte_Paganuccio,Monte Paganuccio,43.6281,12.75872,Monte Paganuccio,"{""type"": ""Point"", ""coordinates"": [12.75872, 43.6281]}",-1.0,MeteoHub_dpcn-marche,,24.6,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Cesane_Foresta,Cesane Foresta,43.6926,12.7675,Cesane Foresta,"{""type"": ""Point"", ""coordinates"": [12.7675, 43.6926]}",-1.0,MeteoHub_dpcn-marche,,28.1,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Villa_Potenza,Villa Potenza,43.32726,13.42604,Villa Potenza,"{""type"": ""Point"", ""coordinates"": [13.42604, 43.32726]}",90.0,MeteoHub_dpcn-marche,,32.5,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Colleponi,Colleponi,43.43372,12.90434,Colleponi,"{""type"": ""Point"", ""coordinates"": [12.90434, 43.43372]}",245.0,MeteoHub_dpcn-marche,,30.1,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Moie,Moie,43.49617,13.12579,Moie,"{""type"": ""Point"", ""coordinates"": [13.12579, 43.49617]}",120.0,MeteoHub_dpcn-marche,,33.4,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Esanatoglia2,Esanatoglia2,43.25313,12.94332,Esanatoglia2,"{""type"": ""Point"", ""coordinates"": [12.94332, 43.25313]}",-1.0,MeteoHub_dpcn-marche,,27.5,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Umito,Umito,42.73742,13.40658,Umito,"{""type"": ""Point"", ""coordinates"": [13.40658, 42.73742]}",-1.0,MeteoHub_dpcn-marche,,27.5,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Capodacqua,Capodacqua,42.73848,13.23818,Capodacqua,"{""type"": ""Point"", ""coordinates"": [13.23818, 42.73848]}",-1.0,MeteoHub_dpcn-marche,,25.4,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Montecavallo,Montecavallo,42.98368,12.99405,Montecavallo,"{""type"": ""Point"", ""coordinates"": [12.99405, 42.98368]}",-1.0,MeteoHub_dpcn-marche,,26.8,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Sefro,Sefro,43.15903,12.97075,Sefro,"{""type"": ""Point"", ""coordinates"": [12.97075, 43.15903]}",-1.0,MeteoHub_dpcn-marche,,31.1,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Spindoli,Spindoli,43.19405,12.90042,Spindoli,"{""type"": ""Point"", ""coordinates"": [12.90042, 43.19405]}",-1.0,MeteoHub_dpcn-marche,,29.8,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Fiastra_Tribbio,Fiastra Tribbio,43.0347,13.156,Fiastra Tribbio,"{""type"": ""Point"", ""coordinates"": [13.156, 43.0347]}",-1.0,MeteoHub_dpcn-marche,,27.7,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Fabriano_Centro,Fabriano Centro,43.33027,12.90403,Fabriano Centro,"{""type"": ""Point"", ""coordinates"": [12.90403, 43.33027]}",-1.0,MeteoHub_dpcn-marche,,30.2,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Senigallia,Senigallia,43.70103,13.20577,Senigallia,"{""type"": ""Point"", ""coordinates"": [13.20577, 43.70103]}",-1.0,MeteoHub_dpcn-marche,,29.6,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Pian_di_Pieca,Pian di Pieca,43.08003,13.28157,Pian di Pieca,"{""type"": ""Point"", ""coordinates"": [13.28157, 43.08003]}",-1.0,MeteoHub_dpcn-marche,,29.6,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Cingoli,Cingoli,43.36223,13.19233,Cingoli,"{""type"": ""Point"", ""coordinates"": [13.19233, 43.36223]}",-1.0,MeteoHub_dpcn-marche,,27.5,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Macerata_Montalbano,Macerata Montalbano,43.29223,13.4187,Macerata Montalbano,"{""type"": ""Point"", ""coordinates"": [13.4187, 43.29223]}",-1.0,MeteoHub_dpcn-marche,,33.0,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Loreto,Loreto,43.43578,13.61955,Loreto,"{""type"": ""Point"", ""coordinates"": [13.61955, 43.43578]}",-1.0,MeteoHub_dpcn-marche,,30.7,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Serravalle_di_Chienti,Serravalle di Chienti,43.03055,12.9175,Serravalle di Chienti,"{""type"": ""Point"", ""coordinates"": [12.9175, 43.03055]}",-1.0,MeteoHub_dpcn-marche,,27.5,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Baraccola,Baraccola,43.57445,13.52388,Baraccola,"{""type"": ""Point"", ""coordinates"": [13.52388, 43.57445]}",-1.0,MeteoHub_dpcn-marche,,30.3,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Poggio_San_Vicino,Poggio San Vicino,43.36842,13.07953,Poggio San Vicino,"{""type"": ""Point"", ""coordinates"": [13.07953, 43.36842]}",-1.0,MeteoHub_dpcn-marche,,28.2,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Piagge,Piagge,43.7375,12.96922,Piagge,"{""type"": ""Point"", ""coordinates"": [12.96922, 43.7375]}",-1.0,MeteoHub_dpcn-marche,,30.1,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Ancona_Torrette,Ancona Torrette,43.61095,13.4498,Ancona Torrette,"{""type"": ""Point"", ""coordinates"": [13.4498, 43.61095]}",-1.0,MeteoHub_dpcn-marche,,29.8,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Carpegna,Carpegna,43.78058,12.34062,Carpegna,"{""type"": ""Point"", ""coordinates"": [12.34062, 43.78058]}",-1.0,MeteoHub_dpcn-marche,,28.0,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Corinaldo,Corinaldo,43.6605,13.04638,Corinaldo,"{""type"": ""Point"", ""coordinates"": [13.04638, 43.6605]}",-1.0,MeteoHub_dpcn-marche,,29.9,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Urbania,Urbania,43.65342,12.55213,Urbania,"{""type"": ""Point"", ""coordinates"": [12.55213, 43.65342]}",-1.0,MeteoHub_dpcn-marche,,31.3,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Cantiano,Cantiano,43.46707,12.64052,Cantiano,"{""type"": ""Point"", ""coordinates"": [12.64052, 43.46707]}",-1.0,MeteoHub_dpcn-marche,,28.9,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Pianello_di_Cagli,Pianello di Cagli,43.51215,12.55335,Pianello di Cagli,"{""type"": ""Point"", ""coordinates"": [12.55335, 43.51215]}",-1.0,MeteoHub_dpcn-marche,,29.5,2026-06-21 15:30:00+00:00,,,,,0.0,2026-06-21 15:45:00+00:00
MH_dpcn-marche_Pioraco_2,Pioraco 2,43.18112,12.97333,Pioraco 2,"{""type"": ""Point"", ""coordinates"": [12.97333, 43.18112]}",-1.0,MeteoHub_dpcn-marche,,30.8,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Sassoferrato,Sassoferrato,43.42498,12.85635,Sassoferrato,"{""type"": ""Point"", ""coordinates"": [12.85635, 43.42498]}",-1.0,MeteoHub_dpcn-marche,,31.9,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Ripatransone,Ripatransone,42.99213,13.785,Ripatransone,"{""type"": ""Point"", ""coordinates"": [13.785, 42.99213]}",-1.0,MeteoHub_dpcn-marche,,28.8,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Sant_Angelo_in_Pontano,Sant Angelo in Pontano,43.104,13.399,Sant Angelo in Pontano,"{""type"": ""Point"", ""coordinates"": [13.399, 43.104]}",-1.0,MeteoHub_dpcn-marche,,31.3,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Pievebovigliana,Pievebovigliana,43.07257,13.0869,Pievebovigliana,"{""type"": ""Point"", ""coordinates"": [13.0869, 43.07257]}",-1.0,MeteoHub_dpcn-marche,,31.4,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Arquata_del_Tronto,Arquata del Tronto,42.77782,13.29545,Arquata del Tronto,"{""type"": ""Point"", ""coordinates"": [13.29545, 42.77782]}",0.0,MeteoHub_dpcn-marche,,17.7,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Illice,Illice,42.90522,13.40683,Illice,"{""type"": ""Point"", ""coordinates"": [13.40683, 42.90522]}",0.0,MeteoHub_dpcn-marche,,26.6,2026-06-21 15:30:00+00:00,,,,,0.0,2026-06-21 15:45:00+00:00
MH_dpcn-marche_Amandola,Amandola,42.97638,13.35133,Amandola,"{""type"": ""Point"", ""coordinates"": [13.35133, 42.97638]}",0.0,MeteoHub_dpcn-marche,,28.3,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Frontino,Frontino,43.75863,12.357,Frontino,"{""type"": ""Point"", ""coordinates"": [12.357, 43.75863]}",0.0,MeteoHub_dpcn-marche,,29.5,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Piobbico,Piobbico,43.58673,12.5152,Piobbico,"{""type"": ""Point"", ""coordinates"": [12.5152, 43.58673]}",0.0,MeteoHub_dpcn-marche,,29.2,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Gualdo,Gualdo,42.88622,13.16578,Gualdo,"{""type"": ""Point"", ""coordinates"": [13.16578, 42.88622]}",0.0,MeteoHub_dpcn-marche,,29.7,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Cagli_Civita,Cagli Civita,43.5468,12.64387,Cagli Civita,"{""type"": ""Point"", ""coordinates"": [12.64387, 43.5468]}",0.0,MeteoHub_dpcn-marche,,27.8,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Serravalle_di_Carda,Serravalle di Carda,43.54828,12.48647,Serravalle di Carda,"{""type"": ""Point"", ""coordinates"": [12.48647, 43.54828]}",0.0,MeteoHub_dpcn-marche,,25.6,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Monte_Petrano,Monte Petrano,43.5153,12.62183,Monte Petrano,"{""type"": ""Point"", ""coordinates"": [12.62183, 43.5153]}",0.0,MeteoHub_dpcn-marche,,23.1,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Monte_Valvasseto,Monte Valvasseto,43.00013,13.23803,Monte Valvasseto,"{""type"": ""Point"", ""coordinates"": [13.23803, 43.00013]}",0.0,MeteoHub_dpcn-marche,,19.8,2026-06-21 16:00:00+00:00,,,,,,
MH_dpcn-marche_Fossombrone,Fossombrone,43.68252,12.7984,Fossombrone,"{""type"": ""Point"", ""coordinates"": [12.7984, 43.68252]}",200.0,MeteoHub_dpcn-marche,,32.0,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Foce_Tesino,Foce Tesino,42.97552,13.86875,Foce Tesino,"{""type"": ""Point"", ""coordinates"": [13.86875, 42.97552]}",66.0,MeteoHub_dpcn-marche,,28.8,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Biscubio,Biscubio,43.56204,12.4304,Biscubio,"{""type"": ""Point"", ""coordinates"": [12.4304, 43.56204]}",488.0,MeteoHub_dpcn-marche,,27.2,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Appignano,Appignano,43.3642,13.3431,Appignano,"{""type"": ""Point"", ""coordinates"": [13.3431, 43.3642]}",198.0,MeteoHub_dpcn-marche,,31.4,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Montemonaco,Montemonaco,42.8997,13.3253,Montemonaco,"{""type"": ""Point"", ""coordinates"": [13.3253, 42.8997]}",972.0,MeteoHub_dpcn-marche,,26.7,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Casteldelci,Casteldelci,43.79056,12.13194,Casteldelci,"{""type"": ""Point"", ""coordinates"": [12.13194, 43.79056]}",838.0,MeteoHub_dpcn-marche,,25.5,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:10:00+00:00
MH_dpcn-marche_Endesa,Endesa,42.92618,13.09863,Endesa,"{""type"": ""Point"", ""coordinates"": [13.09863, 42.92618]}",-1.0,MeteoHub_dpcn-marche,,,,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Fiumesino,Fiumesino,43.62947,13.37233,Fiumesino,"{""type"": ""Point"", ""coordinates"": [13.37233, 43.62947]}",-1.0,MeteoHub_dpcn-marche,,,,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Marina_di_Montemarciano,Marina di Montemarciano,43.6463,13.34047,Marina di Montemarciano,"{""type"": ""Point"", ""coordinates"": [13.34047, 43.6463]}",-1.0,MeteoHub_dpcn-marche,,,,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Tesino,Tesino,42.96805,13.71175,Tesino,"{""type"": ""Point"", ""coordinates"": [13.71175, 42.96805]}",-1.0,MeteoHub_dpcn-marche,,,,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Foce_Metauro,Foce Metauro,43.82704,13.05262,Foce Metauro,"{""type"": ""Point"", ""coordinates"": [13.05262, 43.82704]}",5.0,MeteoHub_dpcn-marche,,,,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Arzilla,Arzilla,43.84,12.8947,Arzilla,"{""type"": ""Point"", ""coordinates"": [12.8947, 43.84]}",64.0,MeteoHub_dpcn-marche,,,,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Foglia_2,Foglia 2,43.85179,12.7868,Foglia 2,"{""type"": ""Point"", ""coordinates"": [12.7868, 43.85179]}",45.0,MeteoHub_dpcn-marche,,,,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Foglia_3,Foglia 3,43.90758,12.89751,Foglia 3,"{""type"": ""Point"", ""coordinates"": [12.89751, 43.90758]}",9.0,MeteoHub_dpcn-marche,,,,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Conca_1,Conca 1,43.8711,12.4956,Conca 1,"{""type"": ""Point"", ""coordinates"": [12.4956, 43.8711]}",304.0,MeteoHub_dpcn-marche,,,,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Conca_2,Conca 2,43.8839,12.5289,Conca 2,"{""type"": ""Point"", ""coordinates"": [12.5289, 43.8839]}",228.0,MeteoHub_dpcn-marche,,,,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Cupramontana,Cupramontana,43.44538,13.11565,Cupramontana,"{""type"": ""Point"", ""coordinates"": [13.11565, 43.44538]}",-1.0,MeteoHub_dpcn-marche,,,,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Sorti,Sorti,43.11957,12.95295,Sorti,"{""type"": ""Point"", ""coordinates"": [12.95295, 43.11957]}",-1.0,MeteoHub_dpcn-marche,,28.1,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_San_Lorenzo_in_Campo,San Lorenzo in Campo,43.605,12.95333,San Lorenzo in Campo,"{""type"": ""Point"", ""coordinates"": [12.95333, 43.605]}",-1.0,MeteoHub_dpcn-marche,,,,,,,,0.0,2026-06-21 16:00:00+00:00
