file,attribute,value
MO_TS_TG_KOPER_20250820.nc,references,http://marine.copernicus.eu http://www.marineinsitu.eu
MO_TS_TG_KOPER_20250820.nc,citation,These data were collated within the Copernicus Marine Service (In Situ) and EMODnet collaboration framework. Data is made freely available by the Copernicus Marine Service and the programs that contribute to it.
MO_TS_TG_KOPER_20250820.nc,last_latitude_observation,45.5482
MO_TS_TG_KOPER_20250820.nc,last_longitude_observation,13.7245
MO_TS_TG_KOPER_20250820.nc,last_date_observation,2025-08-20T23:00:00Z
MO_TS_TG_KOPER_20250820.nc,site_code,
MO_TS_TG_KOPER_20250820.nc,institution,Environmental Agency of the Republic of Slovenia
MO_TS_TG_KOPER_20250820.nc,license,https://marine.copernicus.eu/user-corner/service-commitments-and-licence
MO_TS_TG_KOPER_20250820.nc,institution_abbreviated,ARSO
MO_TS_TG_KOPER_20250820.nc,institution_country,Slovenia
MO_TS_TG_KOPER_20250820.nc,featureType,timeSeries
MO_TS_TG_KOPER_20250820.nc,publisher_email,cmems-service@hcmr.gr
MO_TS_TG_KOPER_20250820.nc,publisher_name,Copernicus Marine Service
MO_TS_TG_KOPER_20250820.nc,publisher_url,https://marine.copernicus.eu/ https://www.marineinsitu.eu/
MO_TS_TG_KOPER_20250820.nc,publisher_institution,HCMR
MO_TS_TG_KOPER_20250820.nc,date_modified,2025-08-21T09:40:12Z
